55:28:0.0:16.485:0.0:8.103
4047,58.27
4283,55.35
4510,52.43
4725,49.52
4928,46.62
5116,43.75
5290,40.92
5448,38.13
5590,35.39
5715,32.73
5824,30.15
5917,27.65
5995,25.26
6000,22.96
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,23.07
5991,25.38
5912,27.78
5818,30.28
5709,32.87
5583,35.53
5440,38.27
5281,41.06
5107,43.9
4918,46.77
4715,49.67
4499,52.58
4271,55.5
4003,58.75
4247,55.8
4480,52.84
4701,49.89
4908,46.95
5100,44.04
5277,41.16
5437,38.32
5579,35.55
5703,32.84
5810,30.23
5900,27.71
5974,25.3
6000,22.99
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,23.11
5970,25.42
5896,27.84
5805,30.36
5697,32.98
5572,35.69
5429,38.47
5268,41.31
5091,44.19
4898,47.1
4690,50.04
4468,52.99
4234,55.95
3955,59.26
4206,56.27
4446,53.28
4673,50.29
4885,47.31
5081,44.35
5261,41.42
5423,38.53
5566,35.71
5690,32.96
5794,30.3
5880,27.75
5949,25.32
6000,23.02
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,23.13
5946,25.45
5876,27.88
5789,30.44
5684,33.1
5559,35.85
5415,38.68
5252,41.57
5072,44.5
4875,47.46
4662,50.45
4434,53.44
4193,56.43
3902,59.8
4161,56.78
4409,53.75
4642,50.72
4858,47.7
5058,44.69
5241,41.7
5405,38.76
5549,35.88
5673,33.07
5775,30.37
5857,27.79
5920,25.34
5967,23.03
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
5999,21.0
5965,23.15
5917,25.47
5853,27.92
5770,30.51
5667,33.22
5542,36.02
5397,38.91
5232,41.86
5049,44.84
4848,47.86
4630,50.88
4396,53.91
4148,56.94
3843,60.37
4112,57.32
4367,54.26
4606,51.19
4827,48.12
5030,45.06
5215,42.02
5381,39.01
5527,36.06
5651,33.2
5752,30.44
5829,27.82
5886,25.35
5925,23.04
5951,21.0
5966,21.0
5974,21.0
5978,21.0
5980,21.0
5981,21.0
5983,21.0
5986,21.0
5993,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
6000,21.0
5992,21.0
5986,21.0
5983,21.0
5981,21.0
5980,21.0
5978,21.0
5974,21.0
5965,21.0
5950,21.0
5924,23.15
5883,25.48
5826,27.96
5747,30.58
5645,33.34
